project,location,field_of_view,date_detected
CMU 2018,CHR-107,END,2018-04-02
CMU 2018,CHR-107,START,2018-09-19
CMU 2018,CHR-114,END,2018-08-14
CMU 2018,CHR-114,START,2018-09-18
CMU 2018,CHR-119,END,2018-02-12
CMU 2018,CHR-119,START,2018-09-20
CMU 2018,CHR-120,END,2018-08-19
CMU 2018,CHR-120,START,2018-09-21
CMU 2018,DEW-12,END,2018-07-30
CMU 2018,DEW-12,START,2018-09-13
CMU 2018,DEW-14,END,2018-07-07
CMU 2018,DEW-14,START,2018-09-12
CMU 2018,DEW-2,END,2017-10-24
CMU 2018,DEW-2,START,2018-09-13
CMU 2018,DEW-22,END,2017-10-24
CMU 2018,DEW-22,START,2018-09-13
CMU 2018,DEW-3,END,2018-06-29
CMU 2018,DEW-3,START,2018-09-13
CMU 2018,DEW-4,END,2018-06-20
CMU 2018,DEW-4,START,2018-09-13
CMU 2018,DEW-5,END,2018-06-26
CMU 2018,DEW-5,START,2018-09-08
CMU 2018,DEW-6,END,2018-05-08
CMU 2018,DEW-6,START,2018-09-13
CMU 2018,LLB-127,END,2017-11-08
CMU 2018,LLB-127,START,2018-09-22
