common_name,gap_group
Badger,Small carnivores
Beaver,Small mammals
Bighorn sheep,Most ungulates
Bison,Most ungulates
Black Bear,Bears
Bobcat,Small carnivores
Canada Lynx,Small carnivores
Columbian Ground Squirrel,Small mammals
Cougar,Canids cougar
Coyote,Canids cougar
Deer,Most ungulates
Elk (wapiti),Most ungulates
Fisher,Small carnivores
Foxes,Canids cougar
Golden-Mantled Ground Squirrel,Small mammals
Gray Squirrel,Small mammals
Gray Wolf,Canids cougar
Grizzly bear,Bears
Ground squirrel,Small mammals
Groundhog,Small mammals
Hoary Marmot,Small mammals
Least Chipmunk,Small mammals
Marten,Small carnivores
Mink,Small carnivores
Moose,Moose
Mountain goat,Most ungulates
Mule deer,Most ungulates
Muskrat,Small mammals
Northern Flying Squirrel,Small mammals
Porcupine,Small mammals
Pronghorn,Most ungulates
Raccoon,Small carnivores
Red fox,Canids cougar
Red Squirrel,Small mammals
Richardson's Ground Squirrel,Small mammals
River Otter,Small carnivores
Snowshoe Hare,Small mammals
Striped Skunk,Small mammals
Swift fox,Canids cougar
"Voles, Mice and Allies",Small mammals
Weasels and Ermine,Small carnivores
White-tailed Deer,Most ungulates
White-tailed Jack Rabbit,Small mammals
Wolverine,Small carnivores
Woodland Caribou,Most ungulates
"Wolves, Coyotes and Allies",Canids cougar
